DATA_INGRESSO_CARGOFUNCAO,count
01/03/2005,801
01/03/2013,580
31/05/2001,114
01/03/2020,81
13/04/1987,38
20/02/2019,33
19/12/2019,29
20/02/2017,28
01/05/2019,24
01/02/2010,23
08/02/2018,20
25/04/2005,20
01/08/2023,18
24/06/2008,18
02/02/2011,17
26/12/2020,17
02/10/2019,17
18/09/2023,15
23/05/2018,15
03/08/2016,14
21/02/2017,14
01/07/2008,14
14/08/2014,14
14/12/2016,14
01/03/2024,14
01/03/2002,13
19/07/2023,13
21/02/2024,13
22/05/2018,13
17/07/2018,13
01/08/2022,12
08/08/2014,12
14/05/2019,12
24/02/2017,12
05/08/2014,12
09/08/2022,11
08/02/2010,11
06/07/2022,11
14/03/2024,11
25/03/2024,10
01/09/2022,10
08/08/2022,10
25/02/2019,10
27/10/2023,10
01/03/2023,10
21/11/2016,10
04/08/2016,10
01/04/2024,9
18/06/2014,9
10/06/2014,9
16/09/2022,9
01/09/2023,9
08/06/2005,9
17/11/2016,9
01/09/2008,9
20/05/2019,9
05/09/2013,9
04/06/2018,8
07/02/2011,8
13/01/2021,8
10/10/2022,8
06/05/2024,8
05/03/2024,8
01/07/2014,8
16/02/2023,8
26/02/2024,8
01/04/2022,8
09/03/2007,8
19/08/2014,8
16/12/2015,8
08/12/2023,8
01/06/2023,8
15/09/2023,8
23/02/2015,8
23/02/2007,8
21/03/2024,7
11/12/2023,7
16/02/1998,7
24/06/2013,7
07/03/2024,7
05/08/2013,7
23/08/2011,7
19/04/2017,7
04/09/2013,7
10/05/2024,7
03/05/2010,7
02/12/2010,7
28/08/2013,7
01/08/2013,7
06/11/2019,7
31/08/2022,7
02/03/2015,7
26/01/2024,7
04/01/2016,7
15/09/2022,7
03/09/2018,7
19/12/2016,7
27/04/2018,7
03/04/2024,7
01/09/2014,7
31/10/2023,7
01/08/2017,7
15/08/2022,7
19/09/2022,7
08/12/2014,7
08/08/2013,7
13/10/2010,7
04/05/2015,6
19/08/2010,6
06/03/2024,6
30/08/2023,6
06/11/2023,6
19/10/2010,6
01/09/2017,6
24/07/2017,6
10/05/2010,6
01/06/2012,6
26/08/2013,6
11/11/2015,6
07/08/2013,6
27/02/2023,6
02/07/2012,6
01/12/2015,6
13/10/2008,6
22/08/2011,6
29/02/2024,6
29/03/2023,6
04/12/2014,6
20/04/2017,6
03/09/2013,6
11/05/2012,6
11/08/2022,6
07/08/2023,6
01/07/2019,6
04/03/2024,6
18/07/2018,6
08/12/2020,6
01/07/2023,6
17/10/2022,6
01/10/2004,6
29/04/2013,6
13/02/2015,6
28/03/2024,6
24/08/2010,6
03/02/2016,6
11/04/2024,6
20/07/2023,6
05/06/2014,6
01/03/2010,6
02/08/2013,6
11/03/2024,6
19/05/2014,6
19/08/2013,6
01/10/2010,6
09/05/2023,6
03/05/2023,6
18/08/2010,6
05/05/2014,5
04/12/2020,5
06/08/2013,5
02/09/2013,5
01/08/2019,5
14/03/2018,5
01/06/2016,5
27/02/2019,5
14/05/2024,5
01/02/2012,5
06/03/2015,5
01/02/2011,5
13/01/2014,5
16/11/2015,5
20/08/2013,5
02/10/2008,5
22/08/2022,5
05/12/2011,5
24/05/2017,5
19/11/2001,5
01/09/2011,5
28/01/2010,5
09/02/2018,5
23/08/2010,5
05/04/2024,5
24/08/2023,5
16/02/2018,5
01/06/2015,5
06/06/2013,5
09/02/2006,5
19/08/2011,5
15/10/2012,5
07/05/2024,5
19/02/2015,5
01/11/2023,5
28/08/2023,5
25/09/2014,5
08/05/2014,5
20/03/2024,5
02/04/2024,5
28/02/2004,5
18/03/2024,5
24/04/2017,5
21/08/2013,5
10/10/2008,5
17/04/2015,5
13/07/2022,5
06/04/2015,5
03/08/2011,5
12/03/2024,5
03/02/2010,5
11/02/2010,5
21/02/2019,5
01/12/2023,5
15/07/2009,5
20/03/2014,5
20/03/2019,5
26/09/2011,5
04/05/2016,5
21/05/2012,5
21/03/2011,5
02/08/2010,5
02/09/2022,5
30/11/2022,5
28/11/2016,5
03/03/2023,5
18/12/2023,5
07/07/2022,5
15/08/2013,5
10/02/2023,5
08/06/2017,5
14/09/2010,5
27/01/2010,5
03/05/2024,5
26/08/2014,5
29/08/2013,5
03/10/2011,5
01/02/2023,5
08/05/2024,5
01/07/2022,5
13/01/2010,5
28/02/2024,5
25/09/2023,5
27/01/2023,5
03/02/2014,4
16/03/2007,4
28/02/2019,4
01/01/2024,4
02/05/2013,4
13/03/2024,4
22/06/2022,4
06/07/2016,4
14/08/2002,4
09/09/2014,4
29/01/2015,4
09/06/2017,4
06/08/2014,4
30/04/2010,4
10/08/2016,4
08/05/2013,4
12/08/2022,4
15/10/2015,4
22/03/2018,4
11/10/2022,4
06/07/2015,4
08/08/2011,4
27/01/2006,4
22/03/2016,4
22/08/2008,4
17/01/2020,4
14/03/2011,4
21/03/2018,4
07/12/2020,4
20/07/2022,4
22/08/2018,4
25/02/2010,4
05/10/2017,4
09/09/2008,4
29/05/2014,4
16/04/2019,4
17/05/2010,4
19/02/2018,4
06/03/2023,4
29/11/2022,4
13/05/2010,4
29/05/2019,4
13/06/2013,4
03/08/2010,4
02/10/2023,4
28/10/2015,4
28/06/2012,4
01/03/2018,4
13/08/2013,4
21/02/2018,4
19/03/2015,4
29/08/2017,4
04/04/2024,4
30/03/2015,4
15/01/2014,4
21/03/2023,4
04/08/2022,4
28/05/2019,4
29/09/2022,4
27/05/2014,4
29/04/1997,4
17/05/2012,4
05/02/2015,4
02/10/2006,4
02/04/2015,4
16/11/2011,4
07/05/2013,4
09/05/2024,4
01/04/2010,4
07/05/2012,4
26/09/2022,4
01/11/2012,4
14/08/2013,4
06/10/2008,4
27/02/2024,4
02/02/2010,4
23/12/2015,4
20/08/2010,4
20/03/2015,4
20/10/2023,4
29/08/2011,4
03/08/2022,4
18/10/2010,4
10/03/2011,4
08/02/2006,4
13/09/2021,4
18/12/2014,4
06/09/2023,4
10/04/2015,4
10/07/2014,4
07/03/2018,4
16/07/2015,4
13/07/2016,4
09/08/2013,4
02/05/2017,4
24/06/2014,4
23/06/2022,4
04/03/2010,4
01/06/2017,4
27/01/2016,4
29/09/2023,4
19/12/2014,4
22/02/2019,4
04/11/2015,4
09/08/2004,4
01/02/2024,4
28/04/2015,4
25/08/2010,4
06/03/2014,4
01/05/2008,4
06/09/2011,4
02/03/2023,4
22/10/2015,4
28/09/2011,4
15/05/2019,4
09/06/2021,4
25/03/2015,4
02/05/2024,4
06/04/2016,4
23/01/2024,4
06/10/2017,4
14/12/2022,4
27/12/2022,4
16/11/2016,4
02/03/2017,4
12/04/2010,4
22/09/2023,3
08/03/2010,3
12/02/2015,3
07/03/2023,3
18/04/2023,3
30/10/2019,3
15/02/2006,3
04/11/2010,3
04/08/2011,3
28/02/2018,3
08/03/2024,3
29/01/2010,3
10/05/2023,3
02/07/2018,3
19/09/2011,3
28/05/2013,3
03/10/2013,3
08/06/2011,3
28/05/2018,3
25/03/2013,3
20/03/2023,3
09/10/2006,3
15/03/2017,3
20/11/2017,3
11/03/2014,3
08/04/2019,3
01/04/2013,3
31/07/2017,3
23/12/2016,3
20/01/2014,3
04/07/2022,3
28/08/2015,3
05/02/2014,3
15/08/2014,3
10/11/2023,3
31/08/2023,3
17/02/2023,3
28/02/2014,3
18/04/2016,3
10/08/2022,3
26/08/2010,3
24/09/2018,3
03/12/2009,3
08/05/2012,3
18/08/2022,3
06/11/2012,3
27/03/2024,3
16/08/2013,3
07/10/2010,3
15/12/2014,3
12/06/2017,3
14/02/2024,3
20/10/2011,3
09/10/2014,3
28/12/2016,3
28/08/2014,3
17/02/2009,3
28/03/2011,3
09/11/2022,3
05/11/2012,3
01/07/2015,3
05/02/2009,3
06/08/2015,3
16/03/2023,3
02/06/2010,3
23/05/2007,3
19/03/2014,3
30/08/2013,3
16/03/2016,3
23/10/2019,3
04/02/2016,3
16/08/2010,3
30/09/2011,3
10/07/2013,3
20/05/2010,3
16/07/2014,3
24/05/2016,3
06/12/2018,3
02/07/2013,3
15/07/2019,3
05/12/2014,3
27/08/2018,3
13/08/2010,3
01/10/2008,3
12/08/2011,3
06/09/2013,3
02/06/2014,3
12/02/2010,3
09/08/2023,3
11/08/2010,3
12/02/2009,3
12/12/2023,3
09/10/2012,3
16/10/2023,3
30/01/2023,3
03/12/2020,3
21/06/2012,3
06/02/2023,3
11/06/2014,3
29/06/2015,3
16/06/2014,3
02/03/2016,3
21/05/2013,3
09/03/2023,3
05/11/2010,3
09/07/2019,3
28/12/2015,3
30/07/2015,3
13/02/2009,3
25/05/2015,3
26/04/2023,3
21/07/2014,3
13/04/2015,3
26/07/2017,3
17/08/2010,3
18/04/2017,3
28/04/2014,3
27/06/2011,3
09/10/2008,3
27/08/2013,3
02/12/2015,3
19/08/2022,3
05/03/2015,3
21/06/2017,3
30/10/2023,3
26/11/2012,3
18/06/2012,3
20/12/2018,3
18/05/2015,3
12/08/2013,3
01/03/2016,3
09/04/2015,3
08/10/2019,3
28/12/2005,3
25/11/2014,3
26/03/1996,3
04/12/2019,3
07/12/2023,3
07/02/2023,3
04/10/2012,3
23/02/2017,3
11/05/2010,3
02/03/2007,3
12/05/2016,3
15/12/2020,3
16/04/2024,3
12/12/2022,3
14/05/2015,3
26/03/2018,3
03/04/2023,3
05/08/2022,3
26/01/2000,3
05/10/2022,3
27/02/1998,3
20/10/2021,3
10/07/2019,3
22/08/2023,3
02/05/2018,3
07/11/2023,3
12/05/2010,3
09/04/2024,3
06/10/2022,3
22/08/2013,3
08/06/2010,3
01/10/2014,3
10/09/2012,3
08/11/2023,3
19/07/2022,3
17/12/2015,3
23/10/2023,3
25/08/2014,3
16/05/2019,3
17/10/2023,3
26/09/2014,3
05/01/2023,3
27/03/2018,3
27/06/2013,3
16/12/2022,3
15/12/2016,3
20/01/2021,3
16/06/2021,3
20/12/2016,3
08/12/2022,3
06/05/2010,3
07/04/2022,3
05/09/2011,3
03/06/2019,3
01/05/2023,3
20/12/2019,3
24/10/2018,3
20/09/2010,3
08/08/2016,3
11/11/2011,3
05/07/2010,3
23/09/2010,3
03/08/2015,3
04/10/2010,3
27/09/2010,3
06/07/2021,3
05/03/2010,3
03/10/2012,3
07/10/2021,3
21/01/2016,3
27/01/2014,3
17/09/2012,3
20/09/2012,3
02/03/2010,3
06/03/2017,3
05/09/2023,3
15/03/2024,3
24/11/2022,3
02/05/2012,3
19/09/2023,3
30/04/2024,3
23/02/2018,3
05/11/2015,3
15/04/2024,3
14/12/2023,3
11/05/2016,3
06/02/2015,3
30/01/2024,3
05/11/2018,3
02/06/2016,3
12/03/2010,3
09/02/2010,3
27/08/2014,3
26/11/2014,2
22/05/2014,2
18/08/2014,2
03/07/2012,2
03/03/2015,2
09/07/2013,2
31/05/2023,2
23/06/2021,2
03/12/2010,2
19/12/2022,2
10/02/2010,2
20/07/2009,2
08/02/2013,2
24/08/2022,2
25/05/2010,2
17/02/2012,2
31/03/2023,2
08/05/2023,2
07/12/2015,2
03/07/2023,2
08/10/2010,2
01/07/2011,2
27/03/2023,2
11/01/2021,2
24/10/2022,2
24/05/2019,2
03/09/2021,2
21/09/2012,2
21/07/2017,2
30/10/2014,2
21/01/2014,2
26/04/2024,2
26/11/2015,2
21/05/2015,2
05/04/2023,2
11/09/2023,2
26/10/2012,2
24/09/2021,2
01/02/2006,2
05/06/2013,2
17/03/2014,2
01/12/2016,2
02/01/2023,2
09/01/2006,2
19/06/2021,2
16/08/2022,2
23/07/2014,2
15/05/2012,2
11/12/2012,2
07/07/2014,2
06/10/2011,2
03/03/2017,2
05/12/2008,2
23/12/2022,2
18/02/1993,2
23/11/2016,2
16/11/2010,2
16/04/2023,2
24/11/2011,2
05/07/2013,2
10/07/1998,2
02/02/2024,2
26/06/2012,2
25/11/2013,2
04/01/2006,2
06/10/1998,2
24/10/2011,2
09/11/2023,2
21/03/2014,2
12/03/2007,2
25/06/2014,2
01/12/2022,2
29/03/2017,2
19/09/2013,2
04/09/2023,2
26/12/2022,2
16/09/2011,2
19/04/2018,2
07/03/2019,2
02/01/2020,2
13/07/2015,2
30/03/2023,2
05/10/2012,2
22/07/2019,2
11/04/2023,2
14/02/2013,2
09/05/2013,2
21/11/2022,2
24/11/2016,2
19/01/2022,2
24/09/2013,2
10/10/2019,2
03/06/2022,2
19/03/2007,2
18/10/2022,2
09/05/2018,2
02/10/2013,2
17/04/2014,2
18/03/2010,2
11/10/2013,2
10/01/2024,2
09/12/2022,2
13/12/2023,2
11/06/2021,2
30/03/2016,2
24/01/2011,2
20/09/2023,2
26/05/2023,2
07/02/2020,2
28/05/2002,2
23/08/2018,2
07/03/2016,2
28/11/2023,2
07/05/1998,2
11/09/2013,2
25/01/2013,2
30/06/2014,2
02/02/2012,2
04/02/2020,2
27/09/2004,2
03/01/1990,2
19/04/2007,2
15/02/2018,2
17/06/2013,2
27/12/2012,2
26/03/2012,2
29/09/2014,2
14/07/2021,2
11/06/2012,2
28/01/2014,2
23/07/2015,2
28/05/2012,2
27/04/2012,2
12/11/2014,2
19/04/2012,2
16/08/2016,2
03/02/2020,2
01/11/2019,2
09/06/2014,2
17/02/2016,2
13/10/2015,2
14/03/2013,2
12/06/2013,2
29/09/2008,2
04/08/2021,2
13/03/2019,2
22/06/2017,2
24/03/2011,2
04/08/2010,2
18/11/2013,2
09/09/2019,2
04/11/2002,2
30/03/2011,2
15/08/2011,2
25/09/2013,2
17/01/2011,2
16/06/2004,2
13/10/2014,2
11/12/2014,2
04/03/1993,2
05/06/2023,2
10/12/2015,2
09/09/2010,2
23/09/2013,2
28/07/2014,2
09/07/2012,2
07/08/2006,2
15/03/2023,2
03/06/2015,2
29/01/2020,2
20/02/2024,2
03/10/2014,2
12/09/2013,2
12/05/2015,2
22/04/2024,2
26/12/2023,2
05/04/2010,2
10/01/2006,2
29/05/2023,2
27/10/2022,2
09/01/2014,2
09/08/2017,2
21/01/2011,2
19/02/2016,2
25/08/2023,2
17/05/2024,2
04/08/2004,2
27/07/2018,2
15/04/2014,2
30/07/2018,2
12/04/2012,2
26/01/2010,2
25/07/2017,2
26/03/2015,2
06/02/2013,2
25/09/2012,2
06/04/2018,2
12/05/2014,2
11/07/2013,2
12/07/2018,2
02/09/2010,2
24/06/2021,2
01/04/2019,2
01/02/2000,2
08/04/2015,2
10/01/2011,2
19/11/2012,2
05/05/2023,2
10/02/2011,2
18/02/2016,2
06/06/2018,2
08/12/2015,2
26/09/2008,2
09/08/2010,2
21/06/2022,2
08/01/2020,2
06/01/2021,2
08/10/2008,2
09/03/2010,2
13/09/2013,2
20/11/2023,2
12/01/2018,2
31/10/1997,2
31/01/2019,2
11/02/2016,2
27/02/2004,2
17/11/2011,2
31/03/2016,2
24/07/2013,2
06/06/2022,2
22/05/2023,2
30/06/2000,2
25/07/2022,2
20/05/2014,2
05/05/2022,2
17/03/2023,2
06/01/2023,2
29/12/2020,2
13/09/2023,2
25/04/2019,2
23/05/2013,2
28/01/2016,2
03/07/2018,2
21/09/2011,2
11/11/2021,2
21/06/2013,2
02/08/2022,2
17/08/2016,2
27/02/2014,2
12/01/2021,2
29/07/2022,2
03/05/2018,2
06/01/2016,2
10/03/2023,2
23/09/2022,2
22/10/2008,2
27/05/2013,2
04/08/2017,2
12/05/2008,2
29/04/2015,2
03/10/2019,2
10/04/2023,2
13/12/2022,2
06/02/2012,2
29/10/2018,2
22/12/2023,2
02/01/2014,2
26/12/2008,2
25/10/2022,2
31/07/2018,2
15/05/2023,2
09/02/2023,2
15/07/2014,2
08/10/2012,2
16/12/2014,2
10/09/2013,2
26/09/2023,2
04/11/2022,2
02/10/2014,2
24/05/2010,2
15/01/2024,2
27/06/2023,2
29/11/2016,2
25/06/2012,2
05/09/2022,2
12/04/2024,2
06/02/2017,2
31/01/2020,2
26/02/1997,2
04/04/2022,2
02/03/2011,2
15/03/2011,2
01/10/2018,2
13/04/2022,2
21/12/2022,2
27/03/2014,2
17/09/2013,2
09/09/2011,2
12/05/2023,2
09/02/2015,2
16/12/2016,2
01/04/2016,2
19/11/2014,2
15/08/2023,2
13/03/2014,2
22/05/2012,2
20/03/2006,2
22/03/2024,2
29/01/2018,2
24/07/2023,2
11/09/2021,2
29/04/2024,2
25/01/2010,2
28/07/2017,2
25/05/2018,2
24/01/2014,2
08/09/2011,2
27/12/2016,2
09/10/2015,2
16/03/2010,2
18/12/2017,2
01/07/2010,2
17/07/2023,2
09/07/2018,2
28/09/2010,2
01/06/2022,2
16/02/2016,2
21/11/2011,2
04/04/2023,2
13/05/2013,2
15/07/2015,2
28/11/2011,2
10/04/2017,2
28/08/2017,2
15/07/2022,2
09/09/1994,2
14/10/2010,2
11/04/2018,2
23/09/2011,2
30/10/2013,2
24/05/2012,2
16/04/2014,2
01/05/2002,2
30/03/2009,2
22/12/2022,2
23/08/2019,2
31/07/2023,2
27/03/1998,2
26/04/2017,2
29/01/2024,2
09/03/2012,2
07/06/2013,2
30/04/2014,2
23/08/1993,2
24/09/2012,2
23/04/2012,2
24/09/2010,2
15/09/2015,2
11/08/2014,2
04/02/2014,2
08/03/2018,2
26/12/2019,2
26/07/2013,2
05/10/2011,2
02/06/2020,2
18/10/2016,2
04/06/2013,2
17/10/2002,2
07/08/2015,2
25/07/2018,2
29/10/2009,2
10/05/2013,2
14/07/2022,2
26/05/2014,2
23/05/2023,2
14/10/2008,2
02/07/2009,2
01/12/2011,2
03/08/2018,2
08/08/2023,2
20/02/2014,2
13/06/2011,2
26/02/2010,2
14/10/2019,2
15/03/2010,2
21/07/2021,2
24/02/2021,2
24/12/2019,2
28/02/2023,2
08/01/2014,2
21/09/2015,2
08/11/2010,2
07/06/2023,2
08/07/2015,2
01/04/2015,2
17/02/2004,2
19/10/2022,2
05/01/2012,2
07/04/2015,2
08/10/2004,2
27/01/2021,2
01/04/2023,2
31/03/2014,2
11/08/2021,2
29/08/2016,2
08/02/2023,2
10/08/2015,2
15/12/2022,2
08/09/2022,2
17/04/2023,2
22/06/2023,2
28/04/2008,2
01/01/2023,2
29/09/2010,2
22/07/2013,2
10/06/2013,2
10/07/2023,2
02/07/2014,2
20/06/2012,2
23/07/2012,2
04/02/2010,2
11/10/2018,2
26/07/2010,2
12/09/2014,2
23/01/2014,2
25/08/2011,2
18/08/2023,2
16/01/2020,2
11/11/2014,2
29/01/1990,2
18/01/2021,2
13/07/2009,2
07/05/2015,2
21/10/2002,2
01/09/2010,2
29/09/2015,2
20/05/2024,2
21/08/2014,2
13/05/2024,2
24/10/2014,2
15/08/2019,2
18/11/2015,2
10/06/1997,2
23/02/2004,1
25/11/2015,1
31/07/2019,1
31/07/2014,1
23/01/2023,1
25/02/2016,1
21/10/2011,1
07/10/2019,1
13/01/1995,1
28/07/2004,1
07/10/2011,1
15/08/2006,1
17/02/2020,1
09/12/2014,1
11/12/2017,1
27/04/2015,1
07/07/2008,1
27/12/1976,1
10/11/2011,1
20/06/2022,1
23/06/2010,1
16/12/2019,1
13/07/2012,1
26/06/2019,1
28/04/2020,1
18/06/2009,1
28/06/2018,1
12/11/2022,1
25/09/2019,1
27/05/2011,1
02/03/2009,1
09/03/2017,1
08/07/2014,1
10/08/2009,1
19/12/2015,1
13/02/2004,1
24/02/2015,1
20/06/2016,1
16/01/2014,1
16/08/2023,1
08/10/2015,1
06/05/2002,1
